"match_time","home_team","away_team","half_time_home_goals","half_time_away_goals","full_time_home_goals","full_time_away_goals "
"20:29","Villarreal","Mallorca","0","0","0","0"
"20:29","Valencia","Vigo","1","0","3","1"
"20:29","Osasuna","Madrid Piros","1","0","2","1"
"20:29","Madrid Fehér","Bilbao","0","0","2","0"
"20:29","Sevilla Piros","Sevilla Zöld","0","0","0","0"
"20:29","San Sebastian","Girona","1","3","2","3"
"20:29","Alaves","Las Palmas","1","0","3","0"
"20:29","Getafe","Barcelona","0","0","1","0"
"20:37","Bilbao","Alaves","1","2","3","2"
"20:37","Girona","Sevilla Piros","0","0","0","0"
"20:37","Madrid Piros","Valencia","3","1","4","1"
"20:37","Mallorca","Getafe","2","0","3","2"
"20:37","Las Palmas","San Sebastian","0","0","1","0"
"20:37","Sevilla Zöld","Villarreal","1","0","2","0"
"20:37","Barcelona","Osasuna","2","0","3","1"
"20:37","Vigo","Madrid Fehér","0","1","0","2"
"20:45","Valencia","Barcelona","0","1","1","1"
"20:45","Las Palmas","Girona","1","0","2","0"
"20:45","San Sebastian","Bilbao","0","0","1","1"
"20:45","Villarreal","Sevilla Piros","1","0","2","2"
"20:45","Alaves","Vigo","0","0","0","0"
"20:45","Getafe","Sevilla Zöld","0","0","1","0"
"20:45","Madrid Fehér","Madrid Piros","0","0","1","0"
"20:45","Osasuna","Mallorca","1","0","2","0"
"20:53","Mallorca","Valencia","0","1","0","2"
"20:53","Sevilla Piros","Getafe","0","1","0","1"
"20:53","Sevilla Zöld","Osasuna","1","0","1","0"
"20:53","Bilbao","Las Palmas","1","0","1","0"
"20:53","Barcelona","Madrid Fehér","0","2","1","2"
"20:53","Girona","Villarreal","0","1","0","3"
"20:53","Vigo","San Sebastian","0","1","0","1"
"20:53","Madrid Piros","Alaves","1","0","2","0"
"21:01","Las Palmas","Vigo","2","1","2","1"
"21:01","San Sebastian","Madrid Piros","1","0","1","1"
"21:01","Bilbao","Girona","2","0","2","0"
"21:01","Alaves","Barcelona","0","0","1","2"
"21:01","Osasuna","Sevilla Piros","0","0","0","1"
"21:01","Madrid Fehér","Mallorca","1","0","2","0"
"21:01","Getafe","Villarreal","0","1","0","2"
"21:01","Valencia","Sevilla Zöld","1","1","3","1"
"21:09","Villarreal","Osasuna","2","0","4","0"
"21:09","Madrid Piros","Las Palmas","4","0","4","0"
"21:09","Girona","Getafe","1","1","1","4"
"21:09","Sevilla Piros","Valencia","0","1","0","1"
"21:09","Mallorca","Alaves","0","0","0","0"
"21:09","Vigo","Bilbao","0","4","0","5"
"21:09","Sevilla Zöld","Madrid Fehér","0","4","0","4"
"21:09","Barcelona","San Sebastian","1","0","1","0"
"21:16","Vigo","Girona","2","0","2","1"
"21:16","Las Palmas","Barcelona","0","3","2","4"
"21:16","Valencia","Villarreal","0","0","0","0"
"21:16","Osasuna","Getafe","0","0","0","0"
"21:16","San Sebastian","Mallorca","1","0","1","1"
"21:16","Bilbao","Madrid Piros","1","0","2","1"
"21:16","Alaves","Sevilla Zöld","1","0","1","1"
"21:16","Madrid Fehér","Sevilla Piros","1","0","2","0"
"21:24","Girona","Osasuna","2","1","2","1"
"21:24","Sevilla Piros","Alaves","0","1","0","1"
"21:24","Villarreal","Madrid Fehér","0","2","1","2"
"21:24","Madrid Piros","Vigo","1","0","1","1"
"21:24","Barcelona","Bilbao","1","0","1","1"
"21:24","Sevilla Zöld","San Sebastian","1","1","2","1"
"21:24","Getafe","Valencia","1","1","1","3"
"21:24","Mallorca","Las Palmas","1","0","2","1"
"21:32","Bilbao","Mallorca","3","0","3","0"
"21:32","San Sebastian","Sevilla Piros","1","0","2","2"
"21:32","Vigo","Barcelona","0","1","1","1"
"21:32","Madrid Piros","Girona","0","0","2","0"
"21:32","Valencia","Osasuna","0","0","3","0"
"21:32","Las Palmas","Sevilla Zöld","0","0","1","1"
"21:32","Madrid Fehér","Getafe","3","0","6","0"
"21:32","Alaves","Villarreal","0","0","0","1"
"21:40","Osasuna","Madrid Fehér","0","0","1","0"
"21:40","Getafe","Alaves","0","0","1","0"
"21:40","Barcelona","Madrid Piros","1","0","2","0"
"21:40","Sevilla Zöld","Bilbao","2","1","2","3"
"21:40","Sevilla Piros","Las Palmas","1","0","2","0"
"21:40","Girona","Valencia","0","0","0","0"
"21:40","Mallorca","Vigo","0","0","2","1"
"21:40","Villarreal","San Sebastian","0","1","1","1"
"21:48","San Sebastian","Getafe","0","0","0","1"
"21:48","Las Palmas","Villarreal","0","2","0","4"
